community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 49,"['weekendmood', 'springvibes', 'sunnydays', 'weekend', 'sun', 'friday', 'tbt', 'photography', 'happyme', 'flowers', 'weekendvibes', 'mondaymotivation']",124.6,k mean cluster 49,"['mydubai', 'downtowndubai', 'educate', 'zerogravitydubai']",7.2,levenshtein cluster 49,"['trees', 'bar', 'fair', 'nye', 'dec', 'uae', 'bye', 'red', 'band', 'dose', 'nike', 'tee', 'bier', 'bf', 'reels', 'see', 'park', 'dog']",42.900000000000006,,,
community cluster 50,"['flowers', 'weekend', 'instagood', 'sun', 'tbt', 'sunset', 'photography', 'happysunday', 'autumn', 'rooftopparty', 'weekendvibes', 'homeoffice', 'oldtown']",130.95000000000002,k mean cluster 50,[],0.0,levenshtein cluster 50,"['natur', 'win', 'tea', 'trees', 'dp', 'travel', 'alps', 'a7s', 'xeen', 'sea', 'bier', 'strudel', 'tb', 'travelling', 'art', 'traveling', 'razer', 'trvp']",90.2,,,
community cluster 51,"['motivation', 'citylife', 'sun', 'homeoffice', 'summervibes', 'sunshine', 'mindset', 'photography', 'sunglasses', 'autumn', 'flowers', 'fun', 'mondaymotivation', 'oldtown']",143.0,k mean cluster 51,[],0.0,levenshtein cluster 51,"['kino', 'jan', 'dec', 'dji', 'bmw', 'kids', 'mare', 'newin', 'diy', 'dog', 'dxb', 'bar', 'dp', 'news', 'eis', 'wow', 'bay', 'hvar', 'meow']",42.0,,,
community cluster 52,"['family', 'nacht', 'bestteam', 'kumberg', 'concert', 'diy', 'artist', 'rain', 'weihnachten', 'natur', 'schlossberg', 'musik', 'music', 'graz', 'schöckl']",125.0,k mean cluster 52,"['beautifulafrica', 'beautifulmoments']",3.8,levenshtein cluster 52,"['graz', 'cpu', 'chai', 'jan', 'chef', 'cgi', 'chill', 'dp', 'hvar', 'red', 'game', 'chili', 'chillin', 'girl', 'c4d', 'dji', 'meat', 'corgi']",79.2,,,
community cluster 53,"['sofresh', 'family', 'goodvibes', 'motivation', 'roadtrip', 'traveling', 'adventuretime', 'diy', 'relax', 'beautiful', 'weihnachten', 'achieverofunrealisticshit', 'vacationmode', 'memories', 'happiness', 'music']",117.6,k mean cluster 53,['italy'],15.600000000000001,levenshtein cluster 53,"['zeit', 'kino', 'cats', 'band', 'game', 'rost', 'mixing', 'rose', 'newin', 'park', 'soon', 'fruit', 'red', 'magazin', 'magazine', 'crazy', 'amazing', 'reading', 'smiling', 'rain']",41.0,,,
community cluster 54,"['vienna', 'holidays', 'lovewhatwedo', 'styria', 'concert', 'goodtimes', 'gmunden', 'eventants', 'business', 'bestteam', 'events', 'rain', 'pizzeraundjaus', 'summer', 'gala', 'loveourjob', 'culture', 'wien', 'ameizing']",108.15,k mean cluster 54,[],0.0,levenshtein cluster 54,"['ligt', 'linz', 'kino', 'lgbt', 'cgi', 'cider', 'vocals', 'gala', 'cine', 'like', 'goals', 'gin', 'girl', 'vibe', 'nike', 'girls', 'giza', 'ikea']",42.900000000000006,,,
community cluster 55,"['formel1', 'artandfriends', 'exhibition', 'spielberg', 'vernissage', 'maintenance', 'politicaldiscussion', 'graz', 'welschlauf', 'sommernachgespräche', 'badaussee', 'radiokulturhaus', 'formulaone', 'manpower', 'silviawolfsgruber', 'orfdrei', 'promotion', 'loveislove', 'pride', 'ameizing', 'motorsport']",63.65,k mean cluster 55,"['favouritebeachboy', 'favoriteplaceonearth', 'favoriteperson', 'canwegobackplease']",7.2,levenshtein cluster 55,"['love', 'bye', 'vibe', 'lend', 'women', 'mare', 'rose', 'nike', 'garten', 'mate', 'vote', 'tarte', 'moon', 'sonne', 'mode', 'dose', 'wow', 'torte', 'horse']",63.0,,,
community cluster 56,"['takecareofyourself', 'aufbau', 'tennis', 'stayhealthy', 'atp', 'healthylifestyle', 'kitzbühel', 'atptenniskitzbühel', 'business', 'administration', 'sports', 'spitalkirche', 'abbau', 'office', 'soccer', 'atpworldtour', 'artist', 'oberameise', 'ameizing', 'generaliopen', 'constructionwork']",38.0,k mean cluster 56,[],0.0,levenshtein cluster 56,"['kerzen', 'memes', 'herz', 'newin', 'lemon', 'berlin', 'maxon', 'dog', 'xeen', 'lebanon', 'em', 'TOP', 'erdbeere', 'cpu', 'cgi', 'erdbeeren', 'beeren', 'veli', 'probieren', 'lernen']",38.0,,,
community cluster 57,"['meeting', 'winzer', 'em', 'dervierender', 'sekretöse', 'bruckandermur', 'weinereiimbaderhaus', 'alpenverein', 'beachvolleyball', 'networking', 'boss', 'antsboss', 'art', 'catsday', 'meinausseerland', 'weinerei', 'viennamajor', 'constructiondays', 'baderhaus', 'ameizing', 'tagung']",34.199999999999996,k mean cluster 57,['burjkhalifa'],1.9500000000000002,levenshtein cluster 57,"['sports', 'shoot', 'art', 'marry', 'herz', 'mate', 'prost', 'dog', 'photo', 'shots', 'vote', 'support', 'split', 'Graz', 'great', 'wow', 'bay', 'sport', 'nacht', 'rain']",58.0,,,
community cluster 58,"['vienna', 'goodtimes', 'networking', 'stayhealthy', 'holidays', 'business', 'loveislove', 'summer', 'wien', 'pride', 'ameizing', 'graz', 'healthylifestyle', 'styria']",192.4,k mean cluster 58,"['snow', 'town', 'view', 'grow']",18.0,levenshtein cluster 58,"['tester', 'jan', 'bestes', 'uae', 'bye', 'share', 'bf', 'skate', 'grow', 'mare', 'mate', 'beats', 'meat', 'duft', 'moon', 'mut', 'great', 'uk', 'krk', 'meow', 'pure']",40.85,,,
community cluster 59,"['vienna', 'events', 'goodtimes', 'art', 'stayhealthy', 'holidays', 'business', 'summer', 'graz', 'networking', 'sports']",182.7,k mean cluster 59,[],0.0,levenshtein cluster 59,"['job', 'jp', 'dxb', 'wow', 'öbb', 'proud', 'blog', 'pop', 'grow', 'rost', 'rose', 'brot', 'blue', 'town', 'prost', 'dog', 'brrrt', 'growth']",37.400000000000006,,,
community cluster 60,"['goodtimes', 'art', 'artist', 'stayhealthy', 'office', 'loveislove', 'healthylifestyle', 'graz', 'pride', 'business', 'networking', 'sports']",123.19999999999999,k mean cluster 60,"['oprnabay', 'sundayfunday', 'instadaily']",11.100000000000001,levenshtein cluster 60,"['schnee', 'chef', 'red', 'cats', 'catlovers', 'chill', 'uae', 'carlovers', 'catlover', 'bier', 'carlover', 'cover', 'bf', 'tealover', 'see', 'em']",33.6,,,
community cluster 61,"['motivation', 'colours', 'relax', 'stayhealthy', 'healthylifestyle', 'winzer', 'styria', 'goodvibes', 'beach', 'sports', 'roadtrip', 'traveling', 'art', 'beautiful', 'vacationmode', 'sofresh', 'presents', 'wien', 'happiness', 'girlswithglasses']",122.0,k mean cluster 61,"['veli', 'nice']",11.399999999999999,levenshtein cluster 61,"['minze', 'kino', 'uae', 'bye', 'bingo', 'vibe', 'vibes', 'bier', 'cinema', 'see', 'red', 'video', 'cider', 'cine', 'like', 'recover', 'vino', 'cover', 'blue', 'blumen']",38.0,,,
community cluster 62,"['snack', 'healthyfood', 'instagood', 'cookies', 'stayhealthy', 'health', 'healthylifestyle', 'photooftheday', 'photography', 'break', 'nature', 'networking', 'healthy', 'fashion', 'travel', 'breakfastgoals', 'hotchocolate', 'nosugar']",140.8,k mean cluster 62,[],0.0,levenshtein cluster 62,"['jp', 'jan', 'bts', 'dec', 'uae', 'band', 'bf', 'lend', 'bmw', 'brand', 'jeans', 'beats', 'dxb', 'benq', 'red', 'em', 'hanf', 'bay', 'hund']",32.550000000000004,,,
community cluster 63,"['motivation', 'graz', 'iphone', 'shoot', 'werbung', 'coffee', 'musicvideo', 'marryicetea', 'igersgraz', 'home', 'onset', 'igersaustria', 'austria', 'nature', 'inspiration', 'studio', 'winter', 'productdesign', 'greenscreen']",200.55,k mean cluster 63,[],0.0,levenshtein cluster 63,"['beachwaves', 'beachday', 'beachdays', 'birthday']",14.4,,,
community cluster 64,"['citylife', 'fun', 'coffee', 'cargirl', 'winterwonderland', 'igersgraz', 'carlover', 'blackouttuesday', 'vibes', 'cold', 'sunglasses', 'austria', 'nature', 'cheersrost', 'inspiration', 'awareness', 'vibe', 'winter', '2k19', 'throwback', 'happiness']",156.75,k mean cluster 64,[],0.0,levenshtein cluster 64,"['kino', 'fair', 'dec', 'bye', 'band', 'fun', 'see', 'dusk', 'soon', 'foto', 'funny', 'TOP', 'eis', 'kunst', 'hanf', 'job', 'cpu', 'vino', 'pop', 'sunny', 'pure']",48.449999999999996,,,
community cluster 65,"['sofresh', 'goodvibes', 'flowers', 'motivation', 'tb', 'newfamilymember', 'bmw', 'luxury', 'austin', 'sunset', 'vacation', 'graz', 'sofree', 'breathtakingviews', 'happiness', 'austria', 'mountains']",181.7,k mean cluster 65,[],0.0,levenshtein cluster 65,"['sommerdrink', 'summerdress', 'summerdrink']",11.100000000000001,,,
community cluster 66,"['luxury', 'austin', 'croatia', 'cargirl', 'sofree', 'home', 'mountains', 'carlover', 'blackouttuesday', 'bmw', 'mindset', 'vacation', 'breathtakingviews', 'nature', 'sofresh', 'tb', 'summervibes', 'newfamilymember', 'awareness', 'vibe', 'throwback']",110.19999999999999,k mean cluster 66,[],0.0,levenshtein cluster 66,"['buffet', 'minze', 'kino', 'hitze', 'milk', 'bye', 'game', 'girl', 'rose', 'bier', 'see', 'kaffee', 'life', 'äpfel', 'lgbt', 'video', 'mode', 'dose', 'apfel', 'vino', 'pure']",44.65,,,
community cluster 67,"['cat', 'citylife', 'naturelovers', 'graz', 'sunnyday', 'goodvibes', 'catlover', 'marryicetea', 'igersgraz', 'flowers', 'carlover', 'blackouttuesday', 'vibes', 'igersaustria', 'mindset', 'sunglasses', 'austria', 'summervibes', 'awareness', 'vibe', 'winter']",192.85,k mean cluster 67,[],0.0,levenshtein cluster 67,"['ligt', 'love', 'uae', 'game', 'trvp', 'rost', 'see', 'soon', 'lgbt', 'lgbtq', 'boss', 'moon', 'cine', 'moda', 'job', 'blog', 'pop', 'blue', 'town', 'tealove', 'pure']",50.349999999999994,,,
community cluster 68,"['luxury', 'austin', 'sunset', 'croatia', 'graz', 'goodvibes', 'cargirl', 'hikingadventures', 'winterwonderland', 'achieverofunrealisticshit', 'sofree', 'home', 'mountains', 'bmw', 'cold', 'vacation', 'breathtakingviews', 'nature', 'tb', 'newfamilymember', 'throwback']",146.29999999999998,k mean cluster 68,"['kenya', 'tea', 'beach']",20.35,levenshtein cluster 68,"['nice', 'love', 'hotel', 'fun', 'cake', 'linz', 'liebe', 'pool', 'nye', 'ootd', 'diy', 'cold', 'foto', 'bar', 'wood', 'moda', 'tee', 'mode', 'bowl', 'mood']",98.0,,,
community cluster 69,"['family', 'newchapter', 'nextlevel', 'roadtrip', 'traveling', 'adventuretime', 'presents', 'beach', 'relax', 'achieverofunrealisticshit', 'motherofcats', 'austria', 'igersgraz', 'memories', 'glitter', 'styria', 'christmastree', 'springevenings']",135.3,k mean cluster 69,[],0.0,levenshtein cluster 69,"['zeit', 'jp', 'uae', 'bf', 'giza', 'skate', 'jeans', 'kenya', 'rose', 'bier', 'soon', 'dxb', 'süßes', 'sea', 'moda', 'dose', 'job', 'pop', 'uk', 'veli']",38.0,,,
community cluster 70,"['citylife', 'naturelovers', 'christmastime', 'graz', 'fun', 'sunnyday', 'winterwonderland', 'marryicetea', 'igersgraz', 'flowers', 'babyitscoldoutside', 'carlover', 'igersaustria', 'mindset', 'sunglasses', 'summervibes', 'awareness', 'vibe', 'winter', 'throwback', 'lend']",179.54999999999998,k mean cluster 70,[],0.0,levenshtein cluster 70,"['graz', 'minze', 'kino', 'hitze', 'team', 'urban', 'linz', 'herz', 'newin', 'win', 'bar', 'cine', 'gin', 'xmas', 'break', 'girls', 'bay', 'vino', 'green', 'brot']",102.0,,,
community cluster 71,"['relax', 'luxury', 'austin', 'graz', 'croatia', 'growth', 'adventuretime', 'hikingadventures', 'sofree', 'roadtrip', 'traveling', 'bmw', 'cold', 'brand', 'vacation', 'breathtakingviews', 'summerbody', 'christmastree', 'supporteachother', 'newfamilymember', '2k19']",110.19999999999999,k mean cluster 71,[],0.0,levenshtein cluster 71,"['fair', 'creative', 'feuer', 'selflove', 'wald', 'inlove', 'gala', 'mylove', 'razer', 'discover', 'atp', 'soccer', 'teatime', 'cine', 'recover', 'cgi', 'greattime', 'cover', 'tealover', 'hund', 'tealove']",32.3,,,
community cluster 72,"['newchapter', 'nextlevel', 'catlover', 'presents', 'colours', 'igersaustria', 'beautiful', 'achieverofunrealisticshit', 'graz', 'igersgraz', 'flowers', 'glitter']",159.6,k mean cluster 72,['clubbing'],1.9500000000000002,levenshtein cluster 72,"['quarantäne', 'quarantine']",7.6,,,
community cluster 73,"['citylife', 'naturelovers', 'christmastime', 'fun', 'sunnyday', 'cargirl', 'winterwonderland', 'marryicetea', 'igersgraz', 'flowers', 'babyitscoldoutside', 'carlover', 'igersaustria', 'mindset', 'sunglasses', 'austria', 'summervibes', 'awareness', 'vibe', 'winter', 'throwback']",169.1,k mean cluster 73,[],0.0,levenshtein cluster 73,"['graz', 'rain', 'fair', 'bts', 'uae', 'flir', 'fun', 'lend', 'cairo', 'giza', 'bmw', 'brand', 'trvp', 'gala', 'razer', 'usa', 'cgi', 'vfx', 'c4d', 'dji', 'ronin']",75.05,,,
community cluster 74,"['tb', 'hikingadventures', 'supporteachother', 'newfamilymember', 'bmw', 'luxury', '2k19', 'austin', 'igersgraz', 'cold', 'vacation', 'croatia', 'sofree', 'austria', 'breathtakingviews', 'nature', 'summerbody', 'dowhatyoulove']",137.5,k mean cluster 74,[],0.0,levenshtein cluster 74,"['bestfriend', 'bestfriends']",5.699999999999999,,,
community cluster 75,"['citylife', 'naturelovers', 'relax', 'christmastime', 'sunnyday', 'growth', 'winterwonderland', 'marryicetea', 'igersgraz', 'flowers', 'home', 'babyitscoldoutside', 'igersaustria', 'brand', 'vacationmode', 'sunglasses', 'christmastree', 'summervibes', 'winter', 'throwback']",150.0,k mean cluster 75,[],0.0,levenshtein cluster 75,"['jp', 'bts', 'fun', 'bf', 'bio', 'tb', 'dxb', 'atp', 'cat', 'dp', 'alps', 'a7s', 'sea', 'em', 'bbq', 'tea', 'tbt', 'new', 'wein', 'cute']",76.0,,,
community cluster 76,"['christmastime', 'styria', 'fun', 'adventuretime', 'hikingadventures', 'winterwonderland', 'marryicetea', 'babyitscoldoutside', 'mountains', 'traveling', 'igersaustria', 'cold', 'vacation', 'sunglasses', 'nature', 'family', 'supporteachother', '2k19', 'winter', 'throwback', 'memories']",142.5,k mean cluster 76,['croatia'],15.600000000000001,levenshtein cluster 76,"['pyramids', 'pyramid']",3.8,,,
community cluster 77,"['colours', 'citylife', 'naturelovers', 'relax', 'igersaustria', 'beautiful', 'awareness', 'vibe', 'achieverofunrealisticshit', 'summervibes', 'vacationmode', 'autumn', 'flowers', 'carlover', 'christmastree']",121.25,k mean cluster 77,"['egypt', 'egyptian', 'egitto']",5.550000000000001,levenshtein cluster 77,"['bts', 'egypt', 'desert', 'öbb', 'egipto', 'egitto', 'razer', 'dxb', 'benq', 'lgbt', 'lgbtq', 'dp', 'xeen', 'cine', 'deko', 'em', 'mode', 'rezept', 'dose', 'cgi', 'dji']",25.65,,,
community cluster 78,"['cat', 'family', 'blackouttuesday', 'vibes', 'catlover', 'citylife', 'naturelovers', 'summervibes', 'awareness', 'vibe', 'marryicetea', 'christmastime', 'sunglasses', 'nature', 'flowers', 'styria', 'carlover', 'sunnyday']",128.70000000000002,k mean cluster 78,[],0.0,levenshtein cluster 78,"['danke', 'kino', 'sailing', 'duft', 'skiing', 'spring', 'hiking', 'drink', 'cine', 'mixing', 'cute', 'lake', 'dusk', 'dji', 'bulking', 'smiling']",57.599999999999994,,,
community cluster 79,"['luxury', 'austin', 'styria', 'cargirl', 'hikingadventures', 'winterwonderland', 'sofree', 'flowers', 'babyitscoldoutside', 'mountains', 'bmw', 'vacation', 'breathtakingviews', 'nature', 'family', 'tb', 'newfamilymember', '2k19', 'winter', 'throwback', 'memories']",122.55,k mean cluster 79,['nairobikenya'],1.9500000000000002,levenshtein cluster 79,"['schneschuhwandern', 'schneeschuhwandern']",3.8,,,
community cluster 80,"['newchapter', 'traveling', 'adventuretime', 'presents', 'colours', 'naturelovers', 'beach', 'relax', 'summervibes', 'beautiful', 'christmastree', 'achieverofunrealisticshit', 'vacationmode', 'flowers', 'glitter', 'sunnyday']",110.39999999999999,k mean cluster 80,[],0.0,levenshtein cluster 80,"['studio', 'styria', 'shoot', 'vfxstudio', 'stadt', 'trvp', 'student', 'atp', 'tarte', 'boss', 'TOP', 'eis', 'cpu', 'cgi', 'vfx', 'cgistudio', 'cgstudio', 'strudel', 'c4d', 'dji']",40.0,,,
community cluster 81,"['family', 'citylife', 'naturelovers', 'hikingadventures', 'tb', 'summervibes', 'beach', 'styria', 'flyinggarden', 'vacation', 'throwback', 'sunglasses', 'croatia', 'plantslover', 'fun', 'sunnyday', 'lend']",147.2,k mean cluster 81,[],0.0,levenshtein cluster 81,"['austria', 'little', 'metal', 'styria', 'autorin', 'stadt', 'austin', 'wald', 'gala', 'goals', 'italy', 'italia', 'music', 'italien', 'auszeit', 'style', 'finally', 'crazy', 'bay', 'australia', 'igdaily']",96.89999999999999,,,
community cluster 82,"['naturelovers', 'hikingadventures', 'tb', 'findthemagic', 'newfamilymember', 'awareness', 'bmw', 'sunset', 'luxury', 'austin', 'vacation', 'croatia', 'sofree', 'breathtakingviews', 'nature', 'styria', 'mountains']",113.85,k mean cluster 82,['cairoegypt'],1.9500000000000002,levenshtein cluster 82,"['love', 'hotel', 'fun', 'sun', 'lunch', 'food', 'wine', 'dog', 'benq', 'vote', 'dp', 'a7s', 'xeen', 'cine', 'tee', 'home', 'wow', 'bay', 'krk', 'local', 'cute']",96.89999999999999,,,
community cluster 83,"['blackouttuesday', 'family', 'roadtrip', 'cargirl', 'summervibes', 'autumncolors', 'awareness', 'vibe', 'mindset', 'magicalmoments', 'throwback', 'autumn', 'home', 'styria', 'carlover', 'grazgoals']",104.39999999999999,k mean cluster 83,[],0.0,levenshtein cluster 83,"['fotography', 'fotografie', 'photography']",40.7,,,
community cluster 84,"['cat', 'luxury', 'austin', 'christmastime', 'autumn', 'styria', 'sofree', 'mountains', 'carlover', 'roadtrip', 'bmw', 'vacation', 'breathtakingviews', 'nature', 'family', 'feelingblessed', 'tb', 'newfamilymember', 'vibe', 'winter']",106.0,k mean cluster 84,[],0.0,levenshtein cluster 84,"['happy', 'art', 'marry', 'cake', 'bio', 'party', 'ootd', 'atp', 'tasty', 'japan', 'alps', 'sea', 'apple', 'vacay', 'tea', 'happyme', 'hanf', 'bay', 'happyday', 'cute', 'chipsy']",96.89999999999999,,,
community cluster 85,"['luxury', 'austin', 'croatia', 'styria', 'vwpolo', 'cargirl', 'vw', 'mountains', 'carlover', 'roadtrip', 'bmw', 'vacation', 'breathtakingviews', 'carsofinstagram', 'family', 'tb', 'newfamilymember', 'vibe', 'throwback']",98.7,k mean cluster 85,[],0.0,levenshtein cluster 85,"['graz', 'vegan', 'veggie', 'team', 'yoga', 'art', 'urban', 'party', 'goals', 'lemon', 'cat', 'japan', 'sea', 'gin', 'ocean', 'vacay', 'tea', 'dream', 'krk', 'wein']",137.0,,,
community cluster 86,"['cat', 'christmastime', 'fun', 'sunnyday', 'cargirl', 'hikingadventures', 'winterwonderland', 'marryicetea', 'sofree', 'home', 'babyitscoldoutside', 'blackouttuesday', 'vibes', 'mindset', 'vacation', 'sunglasses', 'nature', 'summervibes', 'vibe', 'throwback']",127.0,k mean cluster 86,[],0.0,levenshtein cluster 86,"['milk', 'fair', 'cats', 'uae', 'setup', 'family', 'natur', 'party', 'familie', 'see', 'tb', 'atp', 'smile', 'red', 'usa', 'TOP', 'noctua', 'cpu', 'fruity', 'town']",63.0,,,
community cluster 87,"['family', 'saturdaymood', 'colours', 'tb', 'besttimeoftheyear', 'newfamilymember', 'summervibes', 'bmw', 'luxury', 'austin', 'mindset', 'breathtakingviews', 'memories', 'styria', 'mountains', 'sunnyday', 'dowhatyoulove']",103.49999999999999,k mean cluster 87,[],0.0,levenshtein cluster 87,"['buffet', 'couple', 'dec', 'sofresh', 'women', 'coffee', 'icecoffee', 'office', 'sunset', 'sofree', 'sommer', 'kaffee', 'win', 'sonne', 'koffein', 'hanf', 'singer', 'singen', 'cover']",74.55,,,
community cluster 88,"['cat', 'luxury', 'austin', 'christmastime', 'croatia', 'fun', 'sunnyday', 'hikingadventures', 'winterwonderland', 'marryicetea', 'sofree', 'babyitscoldoutside', 'bmw', 'mindset', 'vacation', 'sunglasses', 'nature', 'newfamilymember', 'throwback']",114.45,k mean cluster 88,[],0.0,levenshtein cluster 88,"['pride', 'bye', 'shoot', 'vibe', 'bmw', 'hiking', 'opening', 'mare', 'mixing', 'nike', 'shopping', 'spring', 'shooting', 'spicy', 'home', 'split', 'hanf', 'drink', 'hvar', 'cooking', 'blooming']",72.2,,,
