community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 1354,"['activewear', 'discoverunder10k']",7.0,-0.3205128205128205
community cluster 1355,"['womensday', 'health', 'creativemind', 'florence', 'schlossberg', 'internationalwomensday', 'veganbreakfast', 'veganfood']",31.0,-0.2857142857142857
community cluster 1356,"['foodphotography', 'womensday', 'foodlover', 'creativemind', 'eatinghealthy', 'photography', 'veganbreakfast', 'veganfood']",50.0,0.012499999999999956
community cluster 1357,"['urbanjungle', 'femaleartist', 'rollsroyce', 'womensday', 'health', 'newmusic', 'vocals', 'musicvideo']",21.0,-0.07142857142857136
community cluster 1358,"['foodphotography', 'foodlover', 'love', 'healthylifestyle', 'kooperation', 'veganbreakfast', 'veganfood']",59.625,-0.10902255639097734
community cluster 1359,"['foodphotography', 'like', 'foodlover', 'healthylifestyle', 'restaurant', 'foodlovers', 'cooking', 'foodie']",44.0,-0.048192771084337324
community cluster 1360,"['durstlöscher', 'herrengasse', 'graz', 'running', 'workhard', 'carlovers', 'teamwork']",20.25,-0.03225806451612909
community cluster 1361,"['workout', 'nike']",7.0,0.0
community cluster 1362,"['travel', 'wandern', 'wanderlust', 'outdoorphotography', 'tbt', 'repost', 'goals']",52.875,-0.3333333333333333
community cluster 1363,"['naturephotography', 'adventure', 'travelphotography', 'mountains', 'wandern', 'wanderlust', 'outdoorphotography', 'outdooradventures']",46.0,-0.016064257028112542
community cluster 1364,"['mountains', 'nature', 'outdoorphotography', 'outdoor', 'bergwelten', 'startup', 'abenteuer', 'steigauf']",49.0,-0.19086021505376347
community cluster 1365,"['adventure', 'travelphotography', 'nature', 'wanderlust', 'outdoorphotography', 'outdooradventures', 'spring']",54.0,-0.25000000000000006
community cluster 1366,"['naturephotography', 'vacay', 'traveltheworld', 'blumenwiese', 'natur', 'nature', 'mountainview', 'steigauf']",43.0,-0.1312056737588653
community cluster 1367,"['naturephotography', 'adventure', 'adventuretime', 'travelphotography', 'travel', 'wanderlust', 'schweiz', 'abenteuer']",49.0,-0.10256410256410262
community cluster 1368,"['2min2mio', 'travel', 'sundowner', 'natur', 'outdoor', 'startup', 'mountainview', 'steigauf']",57.0,-0.10344827586206902
community cluster 1369,"['travelphotography', 'travel', 'wandern', 'wanderlust', 'bergwelten', 'vacation', 'austria', 'vacay']",53.0,-0.20000000000000004
community cluster 1370,"['adventure', 'adventuretime', 'travelphotography', 'sundowner', 'natur', 'wanderlust', 'outdoor', 'mountainview']",45.0,-0.125
community cluster 1371,"['travelphotography', 'traveltheworld', 'hiking', 'blumenwiese', 'wanderlust', 'schweiz', 'vacation', 'summer']",41.0,-0.22376237623762382
community cluster 1372,"['adventure', '2min2mio', 'wandern', 'natur', 'wanderlust', 'mountainview', 'summer', 'spring']",46.0,-0.0925925925925926
community cluster 1373,"['adventuretime', 'steigauf', 'review', 'wandern', 'schweiz', 'abenteuer', 'summer', 'interview']",27.0,-0.11111111111111123
community cluster 1374,"['adventure', 'wandern', 'natur', 'wanderlust', 'startup', 'spring']",66.25,0.020000000000000052
community cluster 1375,"['adventure', 'vacay', 'wanderlust', 'abenteuer', 'startup', 'vacation', 'mountainview', 'steigauf']",48.0,-0.07547169811320752
community cluster 1376,"['adventure', 'adventuretime', '2min2mio', 'natur', 'startup', 'mountainview', 'staytuned', 'interview']",51.0,-0.020000000000000052
community cluster 1377,"['traveltheworld', 'blumenwiese', 'natur', 'mountainview', 'vacation', 'vacationmode', 'austria', 'vacay']",41.0,-0.12048192771084339
community cluster 1378,"['adventure', 'adventuretime', 'outdoor', 'vacationmode', 'vacation', 'mountainview', 'vacay']",47.25,-0.10638297872340423
community cluster 1379,"['adventure', 'traveltheworld', 'schweiz', 'abenteuer', 'bergwelten', 'vacation', 'vacationmode', 'steigauf']",38.0,-0.15517241379310354
community cluster 1380,"['adventure', 'adventuretime', 'qualitytime', 'explore', 'traveltheworld', 'bergmensch', '365austria', 'vacay']",32.0,-0.10909090909090904
community cluster 1381,"['adventuretime', 'winter', '2min2mio', 'outdoor', 'startup', 'austria', 'staytuned', 'interview']",44.0,-0.09859154929577466
community cluster 1382,"['winter', 'feedback', 'review', 'startup', 'abenteuer', 'vacation', 'austria', 'interview']",44.0,-0.21428571428571427
community cluster 1383,"['adventuretime', 'hiking', 'bergwelten', 'vacation', 'austria', 'steigauf']",37.5,-0.15343915343915354
community cluster 1384,"['styria', 'schweiz', 'graz', 'instagood', 'abenteuer', 'instafood', 'foodies', 'austria']",36.0,-0.17073170731707318
community cluster 1385,"['2021', 'styria', 'foodporn', 'foodlover', 'graz', 'bergwelten', 'austria', 'interview']",48.0,-0.28301886792452824
community cluster 1386,"['blumenwiese', 'traveltheworld', 'ootd', 'inlove', 'outfit', 'vacation', 'vacationmode', 'outfitoftheday']",40.0,-0.1333333333333332
community cluster 1387,"['cool', 'mountain', 'future', 'service', 'genial', 'beats', 'hotel']",20.25,-0.1688311688311689
community cluster 1388,"['foto', 'mountain', 'tellers', 'bridge', 'startups', 'graz', 'marry', 'sonnenuntergang']",19.0,-0.2916666666666667
community cluster 1389,"['jury', 'talente', 'service', 'future', 'notjustapearlchallenge', 'zukunft', 'talents']",11.25,-0.4122448979591837
community cluster 1390,"['flowers', 'foto', 'fotografie', 'mood', 'frühling', 'sonnenuntergang', 'blumen', 'spring']",44.0,-0.15686274509803916
community cluster 1391,"['lockdown', '2021', 'styria', 'love', 'steiermark', 'graz', 'insta', 'weekendvibes']",76.0,-0.13793103448275865
community cluster 1392,"['music', 'lgbtq', 'lgbt', 'weekendvibes', 'fun', 'motivation', 'fashion', 'lifestyle']",56.0,-0.217391304347826
community cluster 1393,"['homemade', 'instagram', 'happy', 'styria', 'lecker', 'ootd', 'essen', 'selfie']",55.0,-0.047619047619047575
community cluster 1394,"['happy', 'natur', 'tasty', 'rezepte', 'kochen', 'torte', 'cooking', 'delicious']",51.0,-0.12500000000000003
community cluster 1395,"['lockdown', 'explore', 'happy', 'style', 'life', 'steiermark', 'fun', 'memes']",69.0,-0.09090909090909081
community cluster 1396,"['video', 'music', 'happy', 'vegan', 'love', 'nice', 'motivation', 'lifestyle']",73.0,-0.060185185185185314
community cluster 1397,"['homemade', 'instagram', '2021', 'styria', 'ootd', 'love', 'essen', 'nofilter']",60.0,-0.06666666666666668
community cluster 1398,"['love', 'austrianblogger', 'nofilterneeded', 'rezepte', 'kochen', 'torte', 'selfie', 'foodie']",51.0,-0.3777777777777778
community cluster 1399,"['love', 'blogger', 'natur', 'restaurant', 'photo', 'cooking', 'delicious', 'visitaustria']",59.0,-0.41666666666666663
community cluster 1400,"['lockdown', 'love', 'smile', 'style', 'steiermark', 'reels', 'insta', 'igers']",66.0,-0.1071428571428571
community cluster 1401,"['weekend', 'ringana', 'love', 'ootd', 'happyday', 'nice', 'sofree', 'lifestyle']",58.0,-0.1739130434782608
community cluster 1402,"['lockdown', '2021', 'styria', 'ootd', 'blogger', 'bhfyp', 'nature', 'healthy']",63.0,-0.05660377358490558
community cluster 1403,"['goodmorning', 'video', 'explore', 'ootd', 'smile', 'beautiful', 'fashion', 'memes']",45.0,-0.045454545454545484
community cluster 1404,"['instagram', 'sunshine', 'ootd', 'art', 'nofilter', 'beauty', 'weekend']",50.625,-0.1071428571428571
community cluster 1405,"['instagram', 'like', 'vegan', 'foodporn', 'instagood', 'backen', 'kochen', 'desserts']",52.0,-0.019607843137254832
community cluster 1406,"['foodphotography', 'homemade', 'foodlover', 'essen', 'restaurant', 'instagood', 'foodie', 'delicious']",47.0,-0.0813953488372093
community cluster 1407,"['cute', 'lockdown', 'raspberry', 'blogger', 'shots', 'steiermark', 'instagood', 'followme']",52.0,-0.38775510204081637
community cluster 1408,"['instagram', 'lecker', 'essen', 'cake', 'graz', 'food', 'selfie', 'yummy']",47.0,-0.1071428571428571
community cluster 1409,"['instagram', 'nature', 'tasty', 'photography', 'torte', 'healthyfood', 'cooking', 'delicious']",64.0,-0.09090909090909081
community cluster 1410,"['cute', 'instagram', 'music', 'vegan', 'style', 'happyday', 'life', 'motivation']",57.0,-0.26829268292682923
community cluster 1411,"['music', 'explore', '2021', 'fun', 'nofilterneeded', 'graz', 'reels', 'nofilter']",41.0,-0.217391304347826
community cluster 1412,"['2021', 'picoftheday', 'austrianblogger', 'bhfyp', 'nature', 'healthy', 'photo', 'foodie']",50.0,-0.309090909090909
community cluster 1413,"['naturephotography', 'lockdown', '2021', 'smile', 'photography', 'steiermark', 'insta', 'visitaustria']",67.0,-0.1750841750841751
community cluster 1414,"['goodmorning', '2021', 'style', 'life', 'beautiful', 'fashion', 'beauty', 'art']",58.0,-0.13698630136986303
community cluster 1415,"['weekend', 'ringana', 'sunshine', '2021', 'happyday', 'motivation', 'sofree', 'lifestyle']",46.0,-0.2692307692307692
community cluster 1416,"['view', '2021', 'styria', 'natur', 'steiermark', 'restaurant', 'foodie', 'visitaustria']",70.0,-0.39236111111111105
community cluster 1417,"['brot', 'styria', 'brotliebe', 'steiermark', 'cooking', 'fashion', 'austria', 'visitaustria']",63.0,-0.39583333333333326
community cluster 1418,"['weekend', 'brot', 'foodlovers', 'happyday', 'backen', 'food', 'desserts', 'lifestyle']",47.0,-0.20833333333333326
community cluster 1419,"['foodporn', 'foodlover', 'restaurant', 'backen', 'kochen', 'cooking', 'foodie', 'art']",56.0,0.0
community cluster 1420,"['homemade', 'selbstgemacht', 'lecker', 'styria', 'essen', 'instafood', 'selfie', 'austria']",43.0,-0.13580246913580243
community cluster 1421,"['lecker', 'cake', 'restaurant', 'healthy', 'rezepte', 'kochen', 'cooking', 'delicious']",45.0,-0.121951219512195
community cluster 1422,"['lockdown', 'lecker', 'blogger', 'natur', 'nature', 'shots', 'photography', 'steiermark']",81.0,-0.09090909090909081
community cluster 1423,"['cute', 'lifestyle', 'raspberry', 'lecker', 'style', 'life', 'fashion', 'art']",57.0,-0.1891891891891892
community cluster 1424,"['vanille', 'sunshine', 'lecker', 'happyday', 'nice', 'food', 'austria', 'weekend']",50.0,-0.03555555555555557
community cluster 1425,"['homemade', 'foodporn', 'essen', 'instafood', 'food', 'kochen', 'selfie', 'austria']",43.0,-0.06666666666666668
community cluster 1426,"['foodlover', 'tasty', 'foodstagram', 'rezepte', 'food', 'cooking', 'foodie', 'delicious']",49.0,-0.15416666666666665
community cluster 1427,"['cute', 'style', 'natur', 'steiermark', 'lunch', 'restaurant', 'food', 'insta']",62.0,-0.21052631578947376
community cluster 1428,"['video', 'music', 'foodiesofinstagram', 'life', 'food', 'desserts', 'fun', 'austria']",41.0,-0.2801418439716313
community cluster 1429,"['homemade', 'selbstgemacht', 'brotliebe', 'essen', 'nofilterneeded', 'backenmitliebe', 'instafood', 'austria']",23.0,-0.24731182795698925
community cluster 1430,"['delicious', 'kuchen', 'tasty', 'rezepte', 'kochen', 'healthyfood', 'foodie', 'austria']",38.0,-0.0350877192982456
community cluster 1431,"['blogger', 'bhfyp', 'lunch', 'restaurant', 'healthy', 'photo', 'cooking', 'austria']",31.0,-0.06382978723404259
community cluster 1432,"['goodmorning', 'cute', 'lockdown', 'smile', 'shots', 'insta', 'fashion', 'austria']",40.0,-0.045454545454545484
community cluster 1433,"['lgbtq', 'reels', 'happysunday', 'lgbt', 'austria', 'beauty', 'memes', 'art']",29.0,-0.02702702702702693
community cluster 1434,"['vanille', 'raspberry', 'ringana', 'styria', 'foodblogger', 'foodiesofinstagram', 'austria', 'lifestyle']",34.0,-0.28852459016393434
community cluster 1435,"['styria', 'foodblogger', 'natur', 'essen', 'lunch', 'instafood', 'insta', 'foodie']",50.0,-0.24444444444444452
community cluster 1436,"['styria', 'foodporn', 'foodlover', 'austrianblogger', 'brotliebe', 'backenmitliebe', 'delicious', 'yummy']",64.0,-0.46031746031746035
community cluster 1437,"['photooftheday', 'styria', 'picoftheday', 'bhfyp', 'tasty', 'lunch', 'healthy', 'cooking']",58.0,0.04225352112676059
community cluster 1438,"['naturephotography', 'styria', 'blogger', 'natur', 'photography', 'steiermark', 'photo', 'visitaustria']",78.0,-0.071969696969697
community cluster 1439,"['cute', 'lockdown', 'styria', 'style', 'smile', 'shots', 'life', 'fashion']",58.0,-0.14285714285714288
community cluster 1440,"['goodmorning', 'music', 'explore', 'styria', 'reels', 'foodlovers', 'beauty', 'lifestyle']",51.0,-0.045454545454545484
community cluster 1441,"['grazaustria', 'ringana', 'sunshine', 'styria', 'vegan', 'happyday', 'nice', 'weekend']",65.0,-0.14705882352941163
community cluster 1442,"['homemade', 'foodporn', 'brotliebe', 'essen', 'nofilterneeded', 'graz', 'instafood', 'selfie']",33.0,-0.11949685534591188
community cluster 1443,"['tasty', 'foodstagram', 'cake', 'graz', 'rezepte', 'kochen', 'foodie', 'delicious']",33.0,-0.2533333333333334
community cluster 1444,"['bhfyp', 'graz', 'lunch', 'healthy', 'photo', 'cooking', 'instadaily', 'visitaustria']",33.0,-0.1800000000000001
community cluster 1445,"['naturephotography', 'goodmorning', 'video', 'smile', 'shots', 'graz', 'insta', 'memes']",26.0,-0.22222222222222227
community cluster 1446,"['raspberry', 'ringana', 'foodiesofinstagram', 'sport', 'graz', 'happysunday', 'foodlovers', 'lifestyle']",24.0,-0.17187499999999997
community cluster 1447,"['homemade', 'sunshine', 'selbstgemacht', 'essen', 'graz', 'nice', 'selfie', 'weekend']",37.0,-0.08496732026143786
community cluster 1448,"['foodphotography', 'homemade', 'foodporn', 'essen', 'foodstagram', 'instafood', 'foodies', 'yummy']",45.0,-0.012499999999999956
community cluster 1449,"['foodlover', 'kuchen', 'tasty', 'lunch', 'instafood', 'healthyfood', 'foodie', 'delicious']",47.0,-0.3000000000000001
community cluster 1450,"['cute', 'natur', 'nature', 'healthy', 'instafood', 'insta', 'beautiful', 'followme']",57.0,-0.25000000000000006
community cluster 1451,"['vegan', 'foodporn', 'sport', 'foodiesofinstagram', 'instafood', 'foodies', 'desserts', 'fun']",53.0,-0.3773584905660377
community cluster 1452,"['foodphotography', 'homemade', 'foodporn', 'essen', 'foodies', 'kochen', 'foodie', 'followme']",38.0,-0.03658536585365841
community cluster 1453,"['foodporn', 'instadaily', 'restaurant', 'healthy', 'healthyfood', 'cooking', 'foodie', 'delicious']",50.0,-0.20754716981132074
community cluster 1454,"['cute', 'foodporn', 'smile', 'natur', 'life', 'photography', 'photo', 'followme']",55.0,-0.25000000000000006
community cluster 1455,"['homemade', 'vanille', 'foodporn', 'vegan', 'reels', 'motivation', 'beauty', 'art']",57.0,-0.047619047619047575
community cluster 1456,"['grazaustria', 'brotliebe', 'backenmitliebe', 'steiermark', 'foodlovers', 'cooking', 'fashion', 'visitaustria']",56.0,-0.1343283582089551
community cluster 1457,"['foodphotography', 'homemade', 'selbstgemacht', 'foodlover', 'rezepte', 'kochen', 'selfie', 'yummy']",46.0,-0.1022727272727272
community cluster 1458,"['homemade', 'picoftheday', 'tasty', 'photography', 'steiermark', 'healthy', 'healthyfood', 'delicious']",70.0,-0.19540229885057475
community cluster 1459,"['homemade', 'cute', 'vanille', 'selbstgemacht', 'vegan', 'essen', 'life', 'fashion']",48.0,-0.10256410256410256
community cluster 1460,"['selbstgemacht', 'foodlover', 'kuchen', 'essen', 'cake', 'healthy', 'rezepte', 'kochen']",40.0,-0.08974358974358974
community cluster 1461,"['photooftheday', 'essen', 'torte', 'healthyfood', 'selfie', 'foodie', 'delicious', 'yummy']",51.0,-0.12820512820512822
community cluster 1462,"['bhfyp', 'tasty', 'essen', 'nature', 'photography', 'lunch', 'restaurant', 'cooking']",61.0,-0.12765957446808518
community cluster 1463,"['music', 'style', 'natur', 'happyday', 'essen', 'foodiesofinstagram', 'insta', 'fun']",54.0,-0.217391304347826
community cluster 1464,"['foodlover', 'cake', 'rezepte', 'kochen', 'torte', 'selfie', 'delicious', 'yummy']",47.0,-0.2618181818181818
community cluster 1465,"['cooking', 'picoftheday', 'natur', 'nature', 'tasty', 'photography', 'healthyfood', 'selfie']",73.0,-0.2678571428571429
community cluster 1466,"['goodmorning', 'cute', 'music', 'lockdown', 'style', 'life', 'steiermark', 'selfie']",61.0,-0.08695652173913049
community cluster 1467,"['sunshine', 'vegan', 'happyday', 'nofilterneeded', 'happysunday', 'selfie', 'motivation', 'art']",56.0,-0.2683615819209039
community cluster 1468,"['naturephotography', 'natur', 'nature', 'nofilterneeded', 'photography', 'kochen', 'fun']",76.5,-0.090909090909091
community cluster 1469,"['backenmitliebe', 'steiermark', 'lunch', 'foodlovers', 'cooking', 'fashion', 'yummy', 'visitaustria']",65.0,-0.28927203065134094
community cluster 1470,"['lockdown', 'blogger', 'shots', 'foodstagram', 'steiermark', 'kochen', 'delicious', 'yummy']",54.0,-0.07407407407407404
community cluster 1471,"['cute', 'raspberry', 'style', 'life', 'sport', 'nice', 'motivation', 'yummy']",48.0,-0.16666666666666674
community cluster 1472,"['sunshine', 'foodlover', 'cake', 'kochen', 'torte', 'foodie', 'delicious', 'yummy']",50.0,-0.119047619047619
